"ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(days)","Age(wks)","Expr1011","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","DrugDose","Drug","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","mgMeth_gMouse_day","d2-d4","d3-d5","d2-d4bias","TestNumber","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","DrugMassConsumed","n_group_iqr","outlier_flag_DrugMassConsumed","outlier_flag_DrugPreferenceScore"
15148,"Oral methamphetamine","SUC0008","011663","C57BL/6J","M",2022-09-01,2022-05-31,"Marina",93,13.2857142857143,NA,31.5,83.9000015258789,77.9000015258789,76,74.9000015258789,2,NA,NA,NA,NA,NA,NA,"Day 4- Day 6","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202425.393725198,"011663_9/1/2022_Oral methamphetamine","011663_9/1/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00250793699234251,7.90000152587891,3,0.724770665168762,1,7.90000152587891,3,0.724770680730882,0.00250793699234251,"eligible",FALSE,FALSE
15158,"Oral methamphetamine","SUC0008","011663","C57BL/6J","M",2022-09-03,2022-05-31,"Marina",95,13.5714285714286,NA,31.1000003814697,76,74.9000015258789,72.3000030517578,74,2,NA,NA,NA,NA,NA,NA,"Day 6- Day 8","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176681.679278779,"011663_9/3/2022_Oral methamphetamine","011663_9/3/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.001189709615067,3.69999694824219,0.900001525878906,0.804347455501556,2,3.6999969482422,0.900001525878906,0.804347429473688,0.001189709615067,"eligible",FALSE,FALSE
15178,"Oral methamphetamine","SUC0008","011663","C57BL/6J","M",2022-09-07,2022-05-31,"Marina",99,14.1428571428571,NA,31.3999996185303,85.0999984741211,86.8000030517578,75,83.1999969482422,2,NA,NA,NA,NA,NA,NA,"Day 10- Day 12","40","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203264.333679592,"011663_9/7/2022_Oral methamphetamine","011663_9/7/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00643312012536505,10.0999984741211,3.60000610351563,0.737225890159607,3,10.0999984741211,3.6000061035156,0.737225919661947,0.00643312012536504,"eligible",TRUE,FALSE
15188,"Oral methamphetamine","SUC0008","011663","C57BL/6J","M",2022-09-09,2022-05-31,"Marina",101,14.4285714285714,NA,31.1000003814697,75.0999984741211,82,70,79.0999984741211,1,NA,NA,NA,NA,NA,NA,"Day 12- Day 13","40","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169035.367701547,"011663_9/9/2022_Oral methamphetamine","011663_9/9/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00655948348754339,5.09999847412109,2.90000152587891,0.637499809265137,4,5.09999847412109,2.90000152587891,0.637499809265137,0.00655948348754339,"eligible",TRUE,FALSE
15147,"Oral methamphetamine","SUC0008","011664","C57BL/6J","M",2022-09-01,2022-05-31,"Marina",93,13.2857142857143,NA,29.6000003814697,82.4000015258789,81.0999984741211,75.5,77.5,2,NA,NA,NA,NA,NA,NA,"Day 4- Day 6","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210175.679565434,"011664_9/1/2022_Oral methamphetamine","011664_9/1/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00233108156653892,6.90000152587891,3.59999847412109,0.657142996788025,1,6.90000152587891,3.59999847412109,0.657143002464658,0.00233108156653892,"eligible",FALSE,FALSE
15157,"Oral methamphetamine","SUC0008","011664","C57BL/6J","M",2022-09-03,2022-05-31,"Marina",95,13.5714285714286,NA,29.2000007629395,75.5,77.5,72,76.6999969482422,2,NA,NA,NA,NA,NA,NA,"Day 6- Day 8","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186164.378697529,"011664_9/3/2022_Oral methamphetamine","011664_9/3/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00119863010566842,3.5,0.800003051757813,0.813952922821045,2,3.5,0.800003051757798,0.813952910700664,0.00119863010566842,"eligible",FALSE,FALSE
15177,"Oral methamphetamine","SUC0008","011664","C57BL/6J","M",2022-09-07,2022-05-31,"Marina",99,14.1428571428571,NA,29.2000007629395,86.3000030517578,91.8000030517578,80.1999969482422,86.1999969482422,2,NA,NA,NA,NA,NA,NA,"Day 10- Day 12","40","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237029.437835133,"011664_9/7/2022_Oral methamphetamine","011664_9/7/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00417808626310567,6.10000610351563,5.60000610351563,0.521367490291595,3,6.1000061035156,5.6000061035156,0.52136749907404,0.00417808626310565,"eligible",FALSE,FALSE
15187,"Oral methamphetamine","SUC0008","011664","C57BL/6J","M",2022-09-09,2022-05-31,"Marina",101,14.4285714285714,NA,29.2999992370605,80.1999969482422,85.3000030517578,78.3000030517578,81.6999969482422,1,NA,NA,NA,NA,NA,NA,"Day 12- Day 13","40","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214322.877807692,"011664_9/9/2022_Oral methamphetamine","011664_9/9/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00259384839038649,1.89999389648438,3.60000610351563,0.345453441143036,4,1.8999938964844,3.6000061035156,0.345453435724437,0.00259384839038654,"eligible",FALSE,FALSE
15149,"Oral methamphetamine","SUC0008","011665","C57BL/6J","M",2022-09-01,2022-05-31,"Marina",93,13.2857142857143,NA,30,86.3000030517578,87.6999969482422,82.9000015258789,84,2,NA,NA,NA,NA,NA,NA,"Day 4- Day 6","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238475.68359375,"011665_9/1/2022_Oral methamphetamine","011665_9/1/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.00113333384195964,3.40000152587891,3.69999694824219,0.478873550891876,1,3.40000152587889,3.6999969482422,0.478873557265064,0.00113333384195963,"eligible",FALSE,FALSE
15159,"Oral methamphetamine","SUC0008","011665","C57BL/6J","M",2022-09-03,2022-05-31,"Marina",95,13.5714285714286,NA,29.8999996185303,82.9000015258789,84,80.6999969482422,83.5999984741211,2,NA,NA,NA,NA,NA,NA,"Day 6- Day 8","20","Methamphetamine drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223746.818411669,"011665_9/3/2022_Oral methamphetamine","011665_9/3/2022_Oral methamphetamine","yes",NA,"AX27","to CLIMB","B6J",NA,"OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",0.000735787493546751,2.20000457763672,0.400001525878906,0.846153616905212,2,2.2000045776367,0.400001525878906,0.846153620432644,0.000735787493546745,"eligible",FALSE,FALSE
