"ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(days)","Age(wks)","Expr1011","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","DrugDose","Drug","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","mgMeth_gMouse_day","d2-d4","d3-d5","d2-d4bias","TestNumber","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","DrugMassConsumed","n_group_iqr","outlier_flag_DrugMassConsumed","outlier_flag_DrugPreferenceScore"
44382,"Oral methamphetamine","SUC0284","047922","B6J-(WT372)Srgap3<S642P> Cyfip2 S968F<N>","F",2025-06-04,2025-02-18,"Fionna",106,15.1428571428571,NA,19.7999992370605,90.0999984741211,90,84.5999984741211,85.8000030517578,2,NA,NA,NA,NA,NA,NA,"day 22-24 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384972.740133757,"047922_6/4/2025_Oral methamphetamine","047922_6/4/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","WT372",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",0.0111111115392477,5.5,4.19999694824219,0.567010462284088,6,5.5,4.1999969482422,0.567010487667905,0.0111111115392478,"eligible",TRUE,FALSE
48263,"Oral methamphetamine","SUC0327","050898","B6J-(WT372)Srgap3<S642P> Cyfip2 S968F<N>","M",2025-09-06,2025-05-04,"Fionna",125,17.8571428571429,NA,30.8028580801828,96.370002746582,88.7799987792969,91.3000030517578,87.6900024414063,2,NA,NA,NA,NA,NA,NA,"day 20-22 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"050898_9/6/2025_Oral methamphetamine","050898_9/6/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","WT372",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",NA,5.06999969482422,1.08999633789063,0.823052406311035,5,5.0699996948242,1.0899963378906,0.823052428588948,0.00658380424521193,"eligible",FALSE,TRUE
44380,"Oral methamphetamine","SUC0283","047915","B6J-Cyfip2 S968F<N> (GET202)","F",2025-06-04,2025-02-24,"Fionna",100,14.2857142857143,NA,21,93,83,85,78.8000030517578,2,NA,NA,NA,NA,NA,NA,"day 22-24 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376428.571428571,"047915_6/4/2025_Oral methamphetamine","047915_6/4/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","GET202",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",0.0152380952380952,8,4.19999694824219,0.65573787689209,6,8,4.1999969482422,0.65573786894698,0.0152380952380952,"eligible",TRUE,FALSE
44378,"Oral methamphetamine","SUC0283","047916","B6J-Cyfip2 S968F<N> (GET202)","F",2025-06-04,2025-02-24,"Fionna",100,14.2857142857143,NA,23.2999992370605,95.1999969482422,89.1999969482422,93.6999969482422,90.0999984741211,2,NA,NA,NA,NA,NA,NA,"day 22-24 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382842.899137273,"047916_6/4/2025_Oral methamphetamine","047916_6/4/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","GET202",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",0.00257510738045713,1.5,-0.900001525878906,2.50000643730164,6,1.5,-0.900001525878892,2.50000635784489,0.00257510738045713,"eligible",FALSE,TRUE
44379,"Oral methamphetamine","SUC0283","047918","B6J-Cyfip2 S968F<N> (GET202)","F",2025-06-04,2025-02-24,"Fionna",100,14.2857142857143,NA,21.1000003814697,92.5,81,85.5999984741211,81.8000030517578,2,NA,NA,NA,NA,NA,NA,"day 22-24 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375260.656722721,"047918_6/4/2025_Oral methamphetamine","047918_6/4/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","GET202",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",0.0130805713765552,6.90000152587891,-0.800003051757813,1.13114809989929,6,6.90000152587891,-0.800003051757798,1.13114807407768,0.0130805713765552,"eligible",FALSE,TRUE
48338,"Oral methamphetamine","SUC0339","051633","B6J-Cyfip2 S968F<N> (GET202)","M",2025-09-08,2025-05-26,"Fionna",105,15,NA,27.6000003814697,94.0199966430664,84.9499969482422,84.3000030517578,80.4000015258789,2,NA,NA,NA,NA,NA,NA,"day 22-24 Methamphetamine Drinking","80","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287169.786989934,"051633_9/8/2025_Oral methamphetamine","051633_9/8/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","GET202",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",0.0140869470390797,9.71999359130859,4.54999542236328,0.681149363517761,6,9.71999359130861,4.5499954223633,0.681149339498159,0.0140869470390797,"eligible",TRUE,FALSE
43204,"Oral methamphetamine","SUC0277","047067","B6J-Cyfip2<K724E>","F",2025-04-30,2025-01-31,"Fionna",89,12.7142857142857,NA,20.7888893551297,89.4000015258789,94.5999984741211,87.4000015258789,87.6999969482422,2,NA,NA,NA,NA,NA,NA,"day 15-17 Methamphetamine Drinking","20","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"047067_4/30/2025_Oral methamphetamine","047067_4/30/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","K724E",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",NA,2,6.90000152587891,0.224719062447548,3,2,6.90000152587889,0.224719062596171,0.000962052356830934,"eligible",TRUE,TRUE
43200,"Oral methamphetamine","SUC0277","047073","B6J-Cyfip2<K724E>","M",2025-04-30,2025-01-31,"Fionna",89,12.7142857142857,NA,28.8555558522542,95,95.0999984741211,91.6999969482422,87.1999969482422,2,NA,NA,NA,NA,NA,NA,"day 15-17 Methamphetamine Drinking","20","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"047073_4/30/2025_Oral methamphetamine","047073_4/30/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","K724E",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",NA,3.30000305175781,7.90000152587891,0.294643014669418,3,3.3000030517578,7.90000152587889,0.29464300919546,0.00114362830806463,"eligible",FALSE,TRUE
43223,"Oral methamphetamine","SUC0272","047103","B6NJ-Adgrb2-/- Cyfip2 S968F<J>","F",2025-05-02,2025-02-03,"Fionna",88,12.5714285714286,NA,19.6222224765354,103.699996948242,90.6999969482422,94.5,88.1999969482422,3,NA,NA,NA,NA,NA,NA,"day 17-20 Methamphetamine Drinking","40","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"047103_5/2/2025_Oral methamphetamine","047103_5/2/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","Adgrb2",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",NA,9.19999694824219,2.5,0.786324739456177,4,9.199996948242,2.5,0.786324730591007,0.00625141347384308,"eligible",TRUE,FALSE
43224,"Oral methamphetamine","SUC0272","047104","B6NJ-Adgrb2-/- Cyfip2 S968F<J>","F",2025-05-02,2025-02-03,"Fionna",88,12.5714285714286,NA,21.3777781592475,96,80.8000030517578,86.1999969482422,77.5,3,NA,NA,NA,NA,NA,NA,"day 17-20 Methamphetamine Drinking","40","Methamphetamine Drinking","mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"047104_5/2/2025_Oral methamphetamine","047104_5/2/2025_Oral methamphetamine","yes",NA,"Kumar Lab","yes","Adgrb2",NA,"OM5: 4 days 20mg-L,  3 days 40mg-L,  4 days 80mg-L oral methamphetamine position swap every 2-3 days skip weekend work",NA,9.80000305175781,3.30000305175781,0.748091459274292,4,9.8000030517578,3.3000030517578,0.748091487463339,0.00611226790658072,"eligible",TRUE,FALSE
