ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age(days)	Age(wks)	Expr1011	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	DrugDose	Drug	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg/kg formula check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	mgMeth_gMouse_day	d2-d4	d3-d5	d2-d4bias	TestNumber	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	DrugMassConsumed
15085	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-05T00:00:00Z	2022-05-03T00:00:00Z	Marina	94	13.4285714285714			83.5	85	34.7999992370605	81.5	2							Day 1- Day 3		Both Water Bottles															011038_8/5/2022_Oral methamphetamine	011038_8/5/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		48.7000007629395	3.5	0.93295019865036	1	48.7000007629395	3.5	0.932950192550861	
15095	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-08T00:00:00Z	2022-05-03T00:00:00Z	Marina	97	13.8571428571429			75.8000030517578	81.5	69.0999984741211	79	2							Day 3- Day 5	20	Methamphetamine drinking	mg_L														011038_8/8/2022_Oral methamphetamine	011038_8/8/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		6.70000457763672	2.5	0.72826099395752	2	6.70000457763671	2.5	0.728261004774174	
15105	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-10T00:00:00Z	2022-05-03T00:00:00Z	Marina	99	14.1428571428571			82.1999969482422	79	76.5999984741211	75	2							Day 5- Day 7	20	Methamphetamine drinking	mg_L														011038_8/10/2022_Oral methamphetamine	011038_8/10/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		5.59999847412109	4	0.583333253860474	3	5.59999847412111	4	0.58333326710594	
15115	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-14T00:00:00Z	2022-05-03T00:00:00Z	Marina	103	14.7142857142857			80.0999984741211	75	71.0999984741211	73.5	2							Day 7- Day 9	40	Methamphetamine drinking	mg_L														011038_8/14/2022_Oral methamphetamine	011038_8/14/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		9	1.5	0.857142865657806	4	9	1.5	0.857142857142857	
15125	Oral methamphetamine	SUC0003	011038	DBA/2J	M	2022-08-16T00:00:00Z	2022-05-03T00:00:00Z	Marina	105	15			71.0999984741211	73.5	66.5	67.5	2							Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011038_8/16/2022_Oral methamphetamine	011038_8/16/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		4.59999847412109	6	0.433962196111679	5	4.59999847412109	6	0.433962182669324	
15088	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-05T00:00:00Z	2022-05-03T00:00:00Z	Marina	94	13.4285714285714			85.3000030517578	82	85	72.0999984741211	2							Day 1- Day 3		Both Water Bottles															011039_8/5/2022_Oral methamphetamine	011039_8/5/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		0.300003051757813	9.90000152587891	0.0294120498001575	1	0.300003051757798	9.90000152587891	0.0294120506980505	
15098	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-08T00:00:00Z	2022-05-03T00:00:00Z	Marina	97	13.8571428571429			80.0999984741211	72.0999984741211	72.3000030517578	69.0999984741211	2							Day 3- Day 5	20	Methamphetamine drinking	mg_L														011039_8/8/2022_Oral methamphetamine	011039_8/8/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		7.79999542236328	3	0.722222089767456	2	7.7999954223633	3	0.722222104484603	
15108	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-10T00:00:00Z	2022-05-03T00:00:00Z	Marina	99	14.1428571428571			84.4000015258789	85.8000030517578	72.5	84.8000030517578	2							Day 5- Day 7	20	Methamphetamine drinking	mg_L														011039_8/10/2022_Oral methamphetamine	011039_8/10/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		11.9000015258789	1	0.922480642795563	3	11.9000015258789	1	0.922480629324432	
15118	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-14T00:00:00Z	2022-05-03T00:00:00Z	Marina	103	14.7142857142857			82.0999984741211	84.8000030517578	49.7999992370605	83.8000030517578	2							Do Not Use, Spill Happened Day 7- Day 9	40	Methamphetamine drinking	mg_L														011039_8/14/2022_Oral methamphetamine	011039_8/14/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		32.2999992370605	1	0.969969987869263	4	32.2999992370606	1	0.969969969281949	
15128	Oral methamphetamine	SUC0003	011039	DBA/2J	M	2022-08-16T00:00:00Z	2022-05-03T00:00:00Z	Marina	105	15			79.6999969482422	83.8000030517578	68.6999969482422	82.3000030517578	2							Day 9 - Day 11	40	Methamphetamine drinking	mg_L														011039_8/16/2022_Oral methamphetamine	011039_8/16/2022_Oral methamphetamine	yes		AX28	DBA2	DBA2J		OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine		11	1.5	0.879999995231628	5	11	1.5	0.88	
