ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age(days)	Age(wks)	Expr1011	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	DrugDose	Drug	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg/kg formula check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	mgMeth_gMouse_day	d2-d4	d3-d5	d2-d4bias	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	TestNumber
14214	Sucrose	SUC0005	010079	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-18T00:00:00Z	2022-06-17T00:00:00Z	Marina	62	8.85714285714286		21.6000003814697	84.5999984741211	82.5	0	72	2							Do Not Use , different treatment procedure - OG, Day 1- Day 3	0	Both water bottles	Percent													0	010079_8/18/2022_Sucrose	010079_8/18/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both			84.5999984741211	10.5	0.889589905738831	84.5999984741211	10.5	0.889589903591247	1
14218	Sucrose	SUC0005	010079	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-22T00:00:00Z	2022-06-17T00:00:00Z	Marina	66	9.42857142857143		21.7999992370605	85	72	70.4000015258789	70	2							Do Not Use , different treatment procedure - OG, Day 3- Day 5	2	Sucrose Drinking	percent													274495.422450614	010079_8/22/2022_Sucrose	010079_8/22/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.000669724724086262	14.5999984741211	2	0.879518032073975	14.5999984741211	2	0.879518061214407	2
14222	Sucrose	SUC0005	010079	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-24T00:00:00Z	2022-06-17T00:00:00Z	Marina	68	9.71428571428571		22.2999992370605	83.5	88.3000030517578	70.0999984741211	86.4000015258789	2							Do Not Use , different treatment procedure - OG, Day 5- Day 7	2	Sucrose Drinking	percent													262482.076139649	010079_8/24/2022_Sucrose	010079_8/24/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.000600896949969816	13.4000015258789	1.90000152587891	0.875816941261292	13.4000015258789	1.90000152587889	0.875816918503124	3
14216	Sucrose	SUC0005	010080	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-18T00:00:00Z	2022-06-17T00:00:00Z	Marina	62	8.85714285714286		25.1000003814697	87.5999984741211	85.3000030517578	80.9000015258789	78.3000030517578	2							Do Not Use , different treatment procedure - OG, Day 1- Day 3	0	Both water bottles	Percent													282344.212591404	010080_8/18/2022_Sucrose	010080_8/18/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both			6.69999694824219	7	0.489050984382629	6.69999694824219	7	0.489050981073529	1
14220	Sucrose	SUC0005	010080	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-22T00:00:00Z	2022-06-17T00:00:00Z	Marina	66	9.42857142857143		25.1000003814697	87	78.3000030517578	65.5	74.5999984741211	2							Do Not Use , different treatment procedure - OG, Day 3- Day 5	2	Sucrose Drinking	percent													227031.86905953	010080_8/22/2022_Sucrose	010080_8/22/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.000856573692161078	21.5	3.70000457763672	0.853174448013306	21.5	3.7000045776367	0.853174448193545	2
14224	Sucrose	SUC0005	010080	B6NJ-Cyfip2-S968F<J> (GET204)	M	2022-08-24T00:00:00Z	2022-06-17T00:00:00Z	Marina	68	9.71428571428571		24.6000003814697	87.5999984741211	74.5999984741211	71.5	71.6999969482422	2							Do Not Use , different treatment procedure - OG, Day 5- Day 7	2	Sucrose Drinking	percent													254609.748179587	010080_8/24/2022_Sucrose	010080_8/24/2022_Sucrose	yes		Kumar Lab	no	GET204	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.000654471472539026	16.0999984741211	2.90000152587891	0.847368359565735	16.0999984741211	2.90000152587889	0.847368340743216	3
14213	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J>	M	2022-08-18T00:00:00Z	2022-06-18T00:00:00Z	Marina	61	8.71428571428571		24.6000003814697	83.5	83.1999969482422	76.9000015258789	77.4000015258789	2							Do Not Use , different treatment procedure - OG, Day 1- Day 3	0	Both water bottles	Percent													261022.349706164	010200_8/18/2022_Sucrose	010200_8/18/2022_Sucrose	yes		Kumar Lab	yes	Bcl11b	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both			6.59999847412109	5.79999542236328	0.532258212566376	6.59999847412109	5.7999954223633	0.53225820344898	1
14217	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J>	M	2022-08-22T00:00:00Z	2022-06-18T00:00:00Z	Marina	65	9.28571428571429		23.7000007629395	83.8000030517578	77.4000015258789	75.9000015258789	76.4000015258789	2							Do Not Use , different treatment procedure - OG, Day 3- Day 5	2	Sucrose Drinking	percent													268372.160565592	010200_8/22/2022_Sucrose	010200_8/22/2022_Sucrose	yes		Kumar Lab	yes	Bcl11b	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.000333333386985895	7.90000152587891	1	0.887640476226807	7.90000152587889	1	0.887640468701914	2
14221	Sucrose	SUC0006	010200	B6NJ-Bcl11b+/- Cyfip2-S968F<J>	M	2022-08-24T00:00:00Z	2022-06-18T00:00:00Z	Marina	67	9.57142857142857		24.3999996185303	84.4000015258789	76.4000015258789	76.3000030517578	75.1999969482422	2							Do Not Use , different treatment procedure - OG, Day 5- Day 7	2	Sucrose Drinking	percent													263922.963750917	010200_8/24/2022_Sucrose	010200_8/24/2022_Sucrose	yes		Kumar Lab	yes	Bcl11b	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both		0.00033196715576871	8.09999847412109	1.20000457763672	0.870967268943787	8.09999847412111	1.2000045776367	0.870967292058051	3
14215	Sucrose	SUC0006	010202	B6NJ-Bcl11b+/- Cyfip2-S968F<J>	M	2022-08-18T00:00:00Z	2022-06-18T00:00:00Z	Marina	61	8.71428571428571		27.2999992370605	82.8000030517578	81.6999969482422	78.9000015258789	68.4000015258789	2							Do Not Use , different treatment procedure - OG, Day 1- Day 3	0	Both water bottles	Percent													239301.120612766	010202_8/18/2022_Sucrose	010202_8/18/2022_Sucrose	yes		Kumar Lab	yes	Bcl11b	SPT1: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both			3.90000152587891	13.2999954223633	0.226744309067726	3.90000152587889	13.2999954223633	0.226744314991141	1
